"","original_load","solar_gen","wind_gen","battery_output","battery_state_of_charge","net_load","exports","X","X.1","X.2","day","hour"
"1",8333,0,"13,704",-5372,"5,157","0",0,NA,NA,NA,1,1
"2",8161,0,"13,704",-5543,"10,478","0",0,NA,NA,NA,1,2
"3",7724,0,"13,678",-5954,"16,194","0",0,NA,NA,NA,1,3
"4",7353,0,"13,678",-6325,"22,267","0",0,NA,NA,NA,1,4
"5",7191,0,"13,133",-5942,"27,971","0",0,NA,NA,NA,1,5
"6",7010,0,"13,704",-6695,"34,398","0",0,NA,NA,NA,1,6
"7",6253,785,"13,704",-8236,"42,305","0",0,NA,NA,NA,1,7
"8",6052,7468,"14,016",-15431,"57,119","0",0,NA,NA,NA,1,8
"9",6538,16278,"14,016",-23756,"79,925","0",0,NA,NA,NA,1,9
"10",6639,24396,"14,016",-2513,"82,337","-29,259",-29259.2352,NA,NA,NA,1,10
"11",5974,30546,"14,016",0,"82,337","-38,588",-38588.47139,NA,NA,NA,1,11
"12",6360,34061,"14,016",0,"82,337","-41,717",-41717.0769,NA,NA,NA,1,12
"13",6600,34245,"13,990",0,"82,337","-41,635",-41635.21542,NA,NA,NA,1,13
"14",6840,34220,"13,990",0,"82,337","-41,370",-41369.91558,NA,NA,NA,1,14
"15",6848,32188,"13,938",0,"82,337","-39,278",-39277.96327,NA,NA,NA,1,15
"16",6958,27173,"13,964",0,"82,337","-34,179",-34178.86021,NA,NA,NA,1,16
"17",7366,19954,"13,730",0,"82,337","-26,318",-26318.44382,NA,NA,NA,1,17
"18",7937,11289,"13,756",0,"82,337","-17,108",-17108.45652,NA,NA,NA,1,18
"19",8002,3159,"13,756",0,"82,337","-8,914",-8913.685786,NA,NA,NA,1,19
"20",9243,7,"14,042",0,"82,337","-4,806",-4806.310368,NA,NA,NA,1,20
"21",9548,0,"14,016",0,"82,337","-4,468",-4468.144331,NA,NA,NA,1,21
"22",9000,0,"14,016",0,"82,337","-5,016",-5016.157869,NA,NA,NA,1,22
"23",8372,0,"14,016",0,"82,337","-5,644",-5643.94553,NA,NA,NA,1,23
"24",7524,0,"14,016",0,"82,337","-6,492",-6491.979138,NA,NA,NA,1,24
"25",7052,0,"13,730",0,"82,337","-6,678",-6678.178065,NA,NA,NA,2,1
"26",6729,0,"13,159",0,"82,337","-6,431",-6430.592249,NA,NA,NA,2,2
"27",6655,0,"12,095",0,"82,337","-5,440",-5440.126958,NA,NA,NA,2,3
"28",6502,0,"10,642",0,"82,337","-4,140",-4140.105433,NA,NA,NA,2,4
"29",6716,0,"13,133",0,"82,337","-6,418",-6417.643542,NA,NA,NA,2,5
"30",6770,0,"13,185",0,"82,337","-6,416",-6415.793435,NA,NA,NA,2,6
"31",6133,806,"12,121",0,"82,337","-6,794",-6793.992692,NA,NA,NA,2,7
"32",6167,7734,"13,185",0,"82,337","-14,752",-14752.41669,NA,NA,NA,2,8
"33",7011,17204,"12,121",0,"82,337","-22,314",-22314.36571,NA,NA,NA,2,9
"34",7697,25550,"13,211",0,"82,337","-31,064",-31064.38347,NA,NA,NA,2,10
"35",7470,31696,"13,211",0,"82,337","-37,437",-37437.45824,NA,NA,NA,2,11
"36",6835,34244,"12,147",0,"82,337","-39,555",-39555.39073,NA,NA,NA,2,12
"37",6163,34308,"9,084",0,"82,337","-37,229",-37229.06592,NA,NA,NA,2,13
"38",6055,34280,"13,159",0,"82,337","-41,384",-41384.22129,NA,NA,NA,2,14
"39",6554,33456,"13,730",0,"82,337","-40,632",-40632.33804,NA,NA,NA,2,15
"40",6502,28328,"13,938",0,"82,337","-35,764",-35763.90891,NA,NA,NA,2,16
"41",7528,20870,"13,938",0,"82,337","-27,280",-27279.93136,NA,NA,NA,2,17
"42",7785,11912,"13,159",0,"82,337","-17,286",-17286.1113,NA,NA,NA,2,18
"43",7713,3415,"13,990",0,"82,337","-9,692",-9692.317231,NA,NA,NA,2,19
"44",8833,7,"14,016",0,"82,337","-5,190",-5189.959936,NA,NA,NA,2,20
"45",10133,0,"14,042",0,"82,337","-3,909",-3908.800419,NA,NA,NA,2,21
"46",9560,0,"14,068",0,"82,337","-4,508",-4507.915505,NA,NA,NA,2,22
"47",8873,0,"14,042",0,"82,337","-5,169",-5168.711291,NA,NA,NA,2,23
"48",8254,0,"14,042",0,"82,337","-5,788",-5787.827851,NA,NA,NA,2,24
"49",7601,0,"14,042",0,"82,337","-6,441",-6440.761703,NA,NA,NA,3,1
"50",7191,0,"14,016",0,"82,337","-6,825",-6824.949389,NA,NA,NA,3,2
"51",6941,0,"14,042",0,"82,337","-7,101",-7100.632435,NA,NA,NA,3,3
"52",6879,0,"13,964",0,"82,337","-7,085",-7085.198285,NA,NA,NA,3,4
"53",7062,0,"13,964",0,"82,337","-6,902",-6902.238069,NA,NA,NA,3,5
"54",7102,0,"14,016",0,"82,337","-6,914",-6914.261722,NA,NA,NA,3,6
"55",6465,487,"14,016",0,"82,337","-8,038",-8037.84783,NA,NA,NA,3,7
"56",6713,5545,"14,016",0,"82,337","-12,847",-12847.28448,NA,NA,NA,3,8
"57",8065,12362,"13,964",0,"82,337","-18,261",-18261.33278,NA,NA,NA,3,9
"58",8768,18152,"13,964",0,"82,337","-23,347",-23347.43501,NA,NA,NA,3,10
"59",8192,22627,"13,964",0,"82,337","-28,399",-28399.00065,NA,NA,NA,3,11
"60",8160,24926,"13,730",0,"82,337","-30,496",-30496.07317,NA,NA,NA,3,12
"61",7478,26562,"13,730",0,"82,337","-32,815",-32814.8851,NA,NA,NA,3,13
"62",8730,25828,"13,730",0,"82,337","-30,829",-30828.61111,NA,NA,NA,3,14
"63",8371,23798,"13,730",0,"82,337","-29,158",-29157.71712,NA,NA,NA,3,15
"64",8371,19887,"13,964",0,"82,337","-25,480",-25479.85482,NA,NA,NA,3,16
"65",8062,14939,"13,964",0,"82,337","-20,841",-20841.4008,NA,NA,NA,3,17
"66",8383,8503,"13,964",0,"82,337","-14,083",-14083.46073,NA,NA,NA,3,18
"67",8326,2814,"13,704",0,"82,337","-8,193",-8192.845344,NA,NA,NA,3,19
"68",9238,4,"13,730",0,"82,337","-4,496",-4496.315111,NA,NA,NA,3,20
"69",10462,0,"13,730",0,"82,337","-3,269",-3268.701432,NA,NA,NA,3,21
"70",10052,0,"13,730",0,"82,337","-3,679",-3678.844476,NA,NA,NA,3,22
"71",9256,0,"13,159",0,"82,337","-3,904",-3903.833625,NA,NA,NA,3,23
"72",8540,0,"13,159",0,"82,337","-4,619",-4619.199399,NA,NA,NA,3,24
"73",7859,0,"13,133",0,"82,337","-5,274",-5273.925414,NA,NA,NA,4,1
"74",7487,0,"13,133",0,"82,337","-5,646",-5645.915616,NA,NA,NA,4,2
"75",7258,0,"13,133",0,"82,337","-5,876",-5875.699774,NA,NA,NA,4,3
"76",7193,0,"13,133",0,"82,337","-5,941",-5940.733026,NA,NA,NA,4,4
"77",7292,0,"13,133",0,"82,337","-5,842",-5841.882483,NA,NA,NA,4,5
"78",7172,0,"13,678",0,"82,337","-6,507",-6506.606167,NA,NA,NA,4,6
"79",6574,675,"13,704",0,"82,337","-7,805",-7805.488027,NA,NA,NA,4,7
"80",7005,7141,"13,990",0,"82,337","-14,125",-14125.37571,NA,NA,NA,4,8
"81",7970,15553,"13,990",0,"82,337","-21,572",-21572.05367,NA,NA,NA,4,9
"82",8568,23650,"13,938",0,"82,337","-29,020",-29020.07784,NA,NA,NA,4,10
"83",8479,28971,"13,964",0,"82,337","-34,456",-34455.66492,NA,NA,NA,4,11
"84",8769,32458,"13,730",0,"82,337","-37,420",-37419.52669,NA,NA,NA,4,12
"85",8654,34025,"13,159",0,"82,337","-38,531",-38530.96763,NA,NA,NA,4,13
"86",8874,33339,"13,133",0,"82,337","-37,598",-37598.03704,NA,NA,NA,4,14
"87",8843,30364,"13,133",0,"82,337","-34,654",-34654.38489,NA,NA,NA,4,15
"88",8924,25277,"13,133",0,"82,337","-29,486",-29485.741,NA,NA,NA,4,16
"89",8101,18803,"12,069",0,"82,337","-22,772",-22771.53026,NA,NA,NA,4,17
"90",7983,11107,"13,133",0,"82,337","-16,257",-16256.68656,NA,NA,NA,4,18
"91",7918,3247,"13,133",0,"82,337","-8,463",-8463.301678,NA,NA,NA,4,19
"92",8849,13,"13,159",0,"82,337","-4,324",-4323.761094,NA,NA,NA,4,20
"93",10150,0,"13,704",0,"82,337","-3,554",-3554.038576,NA,NA,NA,4,21
"94",9954,0,"13,704",0,"82,337","-3,750",-3750.005442,NA,NA,NA,4,22
"95",9210,0,"13,938",0,"82,337","-4,728",-4728.451171,NA,NA,NA,4,23
"96",8406,0,"13,938",0,"82,337","-5,532",-5532.262168,NA,NA,NA,4,24
"97",7708,0,"13,912",0,"82,337","-6,204",-6204.330383,NA,NA,NA,5,1
"98",7317,0,"13,912",0,"82,337","-6,595",-6595.397006,NA,NA,NA,5,2
"99",7081,0,"13,912",0,"82,337","-6,831",-6831.250934,NA,NA,NA,5,3
"100",6972,0,"13,653",0,"82,337","-6,680",-6680.086116,NA,NA,NA,5,4
"101",7122,0,"13,082",0,"82,337","-5,959",-5959.058224,NA,NA,NA,5,5
"102",7008,0,"13,082",0,"82,337","-6,074",-6073.516748,NA,NA,NA,5,6
"103",6390,434,"13,107",0,"82,337","-7,152",-7151.653957,NA,NA,NA,5,7
"104",6684,5755,"13,107",0,"82,337","-12,179",-12178.95955,NA,NA,NA,5,8
"105",7651,12811,"13,107",0,"82,337","-18,267",-18266.64768,NA,NA,NA,5,9
"106",7709,19043,"13,107",0,"82,337","-24,441",-24440.83124,NA,NA,NA,5,10
"107",8185,21995,"13,107",0,"82,337","-26,918",-26917.70686,NA,NA,NA,5,11
"108",8633,25752,"13,107",0,"82,337","-30,227",-30226.98703,NA,NA,NA,5,12
"109",8427,26526,"10,616",0,"82,337","-28,714",-28713.90578,NA,NA,NA,5,13
"110",7719,28170,"9,007",0,"82,337","-29,457",-29457.4016,NA,NA,NA,5,14
"111",7845,25176,"9,007",0,"82,337","-26,338",-26338.15271,NA,NA,NA,5,15
"112",7767,20574,"9,007",0,"82,337","-21,814",-21814.13558,NA,NA,NA,5,16
"113",8541,14747,"10,590",0,"82,337","-16,795",-16795.49352,NA,NA,NA,5,17
"114",8140,9109,"10,590",0,"82,337","-11,560",-11559.63057,NA,NA,NA,5,18
"115",8181,2809,"12,043",0,"82,337","-6,671",-6671.296229,NA,NA,NA,5,19
"116",8856,4,"12,043",0,"82,337","-3,191",-3191.147519,NA,NA,NA,5,20
"117",10048,0,"13,107",0,"82,337","-3,059",-3059.384345,NA,NA,NA,5,21
"118",9934,0,"13,107",0,"82,337","-3,173",-3172.975758,NA,NA,NA,5,22
"119",9320,0,"13,107",0,"82,337","-3,788",-3787.756769,NA,NA,NA,5,23
"120",8620,0,"12,043",0,"82,337","-3,423",-3423.344919,NA,NA,NA,5,24
"121",7874,0,"13,107",0,"82,337","-5,233",-5233.229187,NA,NA,NA,6,1
"122",7394,0,"13,107",0,"82,337","-5,714",-5713.608142,NA,NA,NA,6,2
"123",7114,0,"13,653",0,"82,337","-6,539",-6538.747182,NA,NA,NA,6,3
"124",6824,0,"13,082",0,"82,337","-6,257",-6257.344074,NA,NA,NA,6,4
"125",6708,0,"13,653",0,"82,337","-6,945",-6944.554675,NA,NA,NA,6,5
"126",6639,0,"13,886",0,"82,337","-7,248",-7247.521692,NA,NA,NA,6,6
"127",6124,378,"13,964",0,"82,337","-8,218",-8218.059461,NA,NA,NA,6,7
"128",5993,5221,"13,964",0,"82,337","-13,192",-13192.18818,NA,NA,NA,6,8
"129",6107,10645,"13,990",0,"82,337","-18,528",-18527.71098,NA,NA,NA,6,9
"130",6611,16740,"14,016",0,"82,337","-24,145",-24145.13598,NA,NA,NA,6,10
"131",6450,21279,"14,016",0,"82,337","-28,844",-28843.97648,NA,NA,NA,6,11
"132",7028,24254,"13,990",0,"82,337","-31,216",-31216.02693,NA,NA,NA,6,12
"133",6122,24443,"13,964",0,"82,337","-32,286",-32285.50947,NA,NA,NA,6,13
"134",5597,25049,"13,964",0,"82,337","-33,416",-33415.63358,NA,NA,NA,6,14
"135",6274,22218,"13,964",0,"82,337","-29,909",-29908.91242,NA,NA,NA,6,15
"136",7358,18936,"13,886",0,"82,337","-25,463",-25463.47707,NA,NA,NA,6,16
"137",7070,14309,"13,653",0,"82,337","-20,891",-20891.04867,NA,NA,NA,6,17
"138",7792,8869,"13,082",0,"82,337","-14,159",-14158.9451,NA,NA,NA,6,18
"139",8079,2782,"13,653",0,"82,337","-8,355",-8355.462345,NA,NA,NA,6,19
"140",9072,3,"13,964",0,"82,337","-4,895",-4895.163644,NA,NA,NA,6,20
"141",10408,0,"13,912",0,"82,337","-3,504",-3504.149754,NA,NA,NA,6,21
"142",10197,0,"13,653",0,"82,337","-3,455",-3455.30392,NA,NA,NA,6,22
"143",9675,0,"13,653",0,"82,337","-3,977",-3977.304157,NA,NA,NA,6,23
"144",8850,0,"13,938",0,"82,337","-5,088",-5088.301833,NA,NA,NA,6,24
"145",7966,0,"13,938",0,"82,337","-5,972",-5971.886952,NA,NA,NA,7,1
"146",7448,0,"13,627",0,"82,337","-6,179",-6178.954464,NA,NA,NA,7,2
"147",7163,0,"12,017",0,"82,337","-4,854",-4854.13441,NA,NA,NA,7,3
"148",6989,0,"7,475",0,"82,337","-486",-486.2360258,NA,NA,NA,7,4
"149",7050,0,"7,475",0,"82,337","-426",-425.5383238,NA,NA,NA,7,5
"150",6999,0,"7,475",0,"82,337","-476",-475.8307055,NA,NA,NA,7,6
"151",6545,410,"7,475",0,"82,337","-1,340",-1340.382687,NA,NA,NA,7,7
"152",6674,5726,"13,082",0,"82,337","-12,133",-12132.8704,NA,NA,NA,7,8
"153",6788,13059,"13,082",0,"82,337","-19,353",-19352.50911,NA,NA,NA,7,9
"154",6156,21026,"10,590",0,"82,337","-25,460",-25460.35453,NA,NA,NA,7,10
"155",6020,24810,"10,590",0,"82,337","-29,379",-29378.95911,NA,NA,NA,7,11
"156",6099,27346,"8,981",0,"82,337","-30,228",-30227.5653,NA,NA,NA,7,12
"157",5902,29660,"7,475",0,"82,337","-31,234",-31234.05832,NA,NA,NA,7,13
"158",5993,28663,"6,125",0,"82,337","-28,795",-28795.3639,NA,NA,NA,7,14
"159",6372,25275,"6,125",0,"82,337","-25,028",-25027.92067,NA,NA,NA,7,15
"160",6676,20876,"6,125",0,"82,337","-20,326",-20326.01294,NA,NA,NA,7,16
"161",6731,15557,"7,475",0,"82,337","-16,301",-16301.3273,NA,NA,NA,7,17
"162",7499,8871,"6,125",0,"82,337","-7,498",-7498.11983,NA,NA,NA,7,18
"163",7734,3029,"4,932",0,"82,337","-227",-226.8781742,NA,NA,NA,7,19
"164",8587,4,"4,932",3652,"78,533","0",0,NA,NA,NA,7,20
"165",9729,0,"3,919",5810,"72,482","0",0,NA,NA,NA,7,21
"166",9421,0,"3,037",6384,"65,831","0",0,NA,NA,NA,7,22
"167",8927,0,"3,037",5890,"59,696","0",0,NA,NA,NA,7,23
"168",8362,0,"1,661",6700,"52,716","0",0,NA,NA,NA,7,24
"169",7810,0,"1,142",6668,"45,770","0",0,NA,NA,NA,8,1
"170",7542,0,"1,661",5881,"39,644","0",0,NA,NA,NA,8,2
"171",7351,0,"2,284",5067,"34,366","0",0,NA,NA,NA,8,3
"172",7076,0,"3,011",4065,"30,132","0",0,NA,NA,NA,8,4
"173",7140,0,"3,011",4129,"25,831","0",0,NA,NA,NA,8,5
"174",7116,0,"3,011",4105,"21,555","0",0,NA,NA,NA,8,6
"175",6688,481,"3,893",2314,"19,145","0",0,NA,NA,NA,8,7
"176",7301,6857,"1,142",-698,"19,815","0",0,NA,NA,NA,8,8
"177",8422,15565,"1,142",-8285,"27,768","0",0,NA,NA,NA,8,9
"178",9297,24127,"1,142",-15972,"43,101","0",0,NA,NA,NA,8,10
"179",8983,29548,"1,142",-21706,"63,939","0",0,NA,NA,NA,8,11
"180",9555,32123,"727",-19165,"82,337","-4,130",-4129.823475,NA,NA,NA,8,12
"181",10150,31448,"363",0,"82,337","-21,662",-21662.07136,NA,NA,NA,8,13
"182",10234,30920,"78",0,"82,337","-20,763",-20763.43199,NA,NA,NA,8,14
"183",10527,28028,"78",0,"82,337","-17,579",-17578.90594,NA,NA,NA,8,15
"184",10366,24153,"0",0,"82,337","-13,786",-13786.31021,NA,NA,NA,8,16
"185",9582,18364,"0",0,"82,337","-8,782",-8782.414723,NA,NA,NA,8,17
"186",8531,10687,"0",0,"82,337","-2,155",-2155.488917,NA,NA,NA,8,18
"187",8466,3186,"78",5203,"76,918","0",0,NA,NA,NA,8,19
"188",9116,9,"6,151",2956,"73,839","0",-3.63798e-12,NA,NA,NA,8,20
"189",10267,0,"9,007",1261,"72,525","0",0,NA,NA,NA,8,21
"190",10017,0,"9,007",1010,"71,473","0",0,NA,NA,NA,8,22
"191",9297,0,"9,007",291,"71,170","0",-5.17275e-12,NA,NA,NA,8,23
"192",8473,0,"9,007",-533,"71,682","0",0,NA,NA,NA,8,24
"193",7836,0,"10,590",-2754,"74,325","0",0,NA,NA,NA,9,1
"194",7423,0,"13,082",-5658,"79,757","0",0,NA,NA,NA,9,2
"195",7272,0,"13,886",-2688,"82,337","-3,926",-3926.133107,NA,NA,NA,9,3
"196",7165,0,"13,886",0,"82,337","-6,721",-6721.185904,NA,NA,NA,9,4
"197",7057,0,"13,886",0,"82,337","-6,830",-6829.574658,NA,NA,NA,9,5
"198",7002,0,"13,886",0,"82,337","-6,884",-6884.20259,NA,NA,NA,9,6
"199",6580,481,"13,912",0,"82,337","-7,814",-7813.745732,NA,NA,NA,9,7
"200",7057,6077,"13,990",0,"82,337","-13,010",-13009.96699,NA,NA,NA,9,8
"201",8138,13506,"13,990",0,"82,337","-19,358",-19358.13839,NA,NA,NA,9,9
"202",9140,19941,"14,016",0,"82,337","-24,816",-24816.43714,NA,NA,NA,9,10
"203",9192,25085,"14,016",0,"82,337","-29,908",-29908.35555,NA,NA,NA,9,11
"204",8903,25924,"14,016",0,"82,337","-31,037",-31036.92151,NA,NA,NA,9,12
"205",9971,30367,"13,964",0,"82,337","-34,360",-34360.31814,NA,NA,NA,9,13
"206",9809,29440,"14,016",0,"82,337","-33,647",-33647.26585,NA,NA,NA,9,14
"207",9179,26905,"14,042",0,"82,337","-31,768",-31768.07826,NA,NA,NA,9,15
"208",9582,22417,"14,042",0,"82,337","-26,877",-26877.25169,NA,NA,NA,9,16
"209",9912,17092,"14,068",0,"82,337","-21,247",-21247.46924,NA,NA,NA,9,17
"210",8848,9597,"14,068",0,"82,337","-14,816",-14816.37121,NA,NA,NA,9,18
"211",8693,3028,"14,068",0,"82,337","-8,403",-8402.738054,NA,NA,NA,9,19
"212",9658,4,"13,211",0,"82,337","-3,557",-3557.362329,NA,NA,NA,9,20
"213",10738,0,"9,110",1628,"80,641","0",-2.72848e-12,NA,NA,NA,9,21
"214",10339,0,"9,084",1255,"79,334","0",0,NA,NA,NA,9,22
"215",9550,0,"9,084",466,"78,849","0",0,NA,NA,NA,9,23
"216",8782,0,"9,084",-302,"79,139","0",0,NA,NA,NA,9,24
"217",8122,0,"9,058",-936,"80,038","0",-6.59384e-12,NA,NA,NA,10,1
"218",7681,0,"7,553",128,"79,904","0",-1.42109e-12,NA,NA,NA,10,2
"219",7438,0,"7,553",-115,"80,015","0",0,NA,NA,NA,10,3
"220",7298,0,"9,058",-1760,"81,704","0",-2.95586e-12,NA,NA,NA,10,4
"221",7348,0,"12,095",-659,"82,337","-4,088",-4088.080382,NA,NA,NA,10,5
"222",7302,0,"13,159",0,"82,337","-5,857",-5857.43252,NA,NA,NA,10,6
"223",6964,67,"13,159",0,"82,337","-6,262",-6262.33066,NA,NA,NA,10,7
"224",7285,2622,"9,058",0,"82,337","-4,395",-4394.708575,NA,NA,NA,10,8
"225",8596,5560,"9,058",0,"82,337","-6,023",-6022.893192,NA,NA,NA,10,9
"226",9025,8099,"7,527",0,"82,337","-6,601",-6600.706532,NA,NA,NA,10,10
"227",8860,14100,"7,527",0,"82,337","-12,767",-12767.31329,NA,NA,NA,10,11
"228",9054,14844,"7,527",0,"82,337","-13,316",-13316.3964,NA,NA,NA,10,12
"229",9091,25510,"6,177",0,"82,337","-22,597",-22596.5607,NA,NA,NA,10,13
"230",9343,27247,"4,983",0,"82,337","-22,887",-22887.13373,NA,NA,NA,10,14
"231",9859,29069,"6,177",0,"82,337","-25,387",-25387.16029,NA,NA,NA,10,15
"232",10082,26913,"6,177",0,"82,337","-23,009",-23008.8863,NA,NA,NA,10,16
"233",9965,18907,"6,177",0,"82,337","-15,120",-15119.80786,NA,NA,NA,10,17
"234",9199,11614,"9,058",0,"82,337","-11,473",-11472.94247,NA,NA,NA,10,18
"235",9116,4173,"10,668",0,"82,337","-5,725",-5724.685121,NA,NA,NA,10,19
"236",10111,144,"10,668",0,"82,337","-701",-701.425298,NA,NA,NA,10,20
"237",10437,0,"7,553",2884,"79,333","0",0,NA,NA,NA,10,21
"238",9752,0,"6,177",3575,"75,609","0",0,NA,NA,NA,10,22
"239",8852,0,"6,177",2675,"72,823","0",0,NA,NA,NA,10,23
"240",8071,0,"6,177",1894,"70,850","0",0,NA,NA,NA,10,24
"241",7492,0,"4,983",2508,"68,238","0",-5.45697e-12,NA,NA,NA,11,1
"242",7168,0,"4,983",2184,"65,962","0",-5.00222e-12,NA,NA,NA,11,2
"243",7036,0,"6,177",858,"65,068","0",0,NA,NA,NA,11,3
"244",6934,0,"7,553",-619,"65,662","0",-1.47793e-12,NA,NA,NA,11,4
"245",6934,0,"9,058",-2124,"67,701","0",0,NA,NA,NA,11,5
"246",7017,0,"10,668",-3651,"71,206","0",0,NA,NA,NA,11,6
"247",6773,421,"13,185",-6833,"77,767","0",0,NA,NA,NA,11,7
"248",7284,6229,"14,068",-4761,"82,337","-8,252",-8251.866402,NA,NA,NA,11,8
"249",8439,12539,"14,068",0,"82,337","-18,168",-18168.10641,NA,NA,NA,11,9
"250",9090,16711,"14,042",0,"82,337","-21,663",-21663.12895,NA,NA,NA,11,10
"251",8682,21411,"13,782",0,"82,337","-26,512",-26512.00025,NA,NA,NA,11,11
"252",8655,29939,"13,756",0,"82,337","-35,041",-35040.89694,NA,NA,NA,11,12
"253",8193,29250,"14,042",0,"82,337","-35,099",-35098.79444,NA,NA,NA,11,13
"254",8492,31015,"14,016",0,"82,337","-36,539",-36539.11873,NA,NA,NA,11,14
"255",9301,28642,"13,990",0,"82,337","-33,330",-33330.33954,NA,NA,NA,11,15
"256",8877,24053,"13,990",0,"82,337","-29,166",-29165.88407,NA,NA,NA,11,16
"257",9275,12775,"13,964",0,"82,337","-17,464",-17463.89475,NA,NA,NA,11,17
"258",8305,9427,"13,964",0,"82,337","-15,086",-15085.83631,NA,NA,NA,11,18
"259",8458,3574,"13,964",0,"82,337","-9,080",-9079.959122,NA,NA,NA,11,19
"260",9358,52,"12,069",0,"82,337","-2,764",-2763.554821,NA,NA,NA,11,20
"261",10797,0,"4,983",5814,"76,281","0",0,NA,NA,NA,11,21
"262",10469,0,"1,687",8782,"67,133","0",0,NA,NA,NA,11,22
"263",9734,0,"363",9371,"57,371","0",0,NA,NA,NA,11,23
"264",8911,0,"3,945",4966,"52,198","0",0,NA,NA,NA,11,24
"265",8148,0,"10,694",-2545,"54,642","0",0,NA,NA,NA,12,1
"266",7680,0,"13,990",-6310,"60,700","0",0,NA,NA,NA,12,2
"267",7390,0,"13,756",-6366,"66,811","0",0,NA,NA,NA,12,3
"268",7253,0,"13,730",-6477,"73,029","0",0,NA,NA,NA,12,4
"269",7352,0,"13,159",-5807,"78,604","0",0,NA,NA,NA,12,5
"270",7274,0,"12,095",-3889,"82,337","-932",-932.0243103,NA,NA,NA,12,6
"271",6670,244,"9,032",0,"82,337","-2,607",-2606.928329,NA,NA,NA,12,7
"272",7093,4390,"3,945",0,"82,337","-1,243",-1242.520349,NA,NA,NA,12,8
"273",8681,9145,"3,945",0,"82,337","-4,409",-4409.41062,NA,NA,NA,12,9
"274",8857,14122,"3,945",0,"82,337","-9,210",-9210.482026,NA,NA,NA,12,10
"275",9247,18317,"2,310",0,"82,337","-11,380",-11380.03132,NA,NA,NA,12,11
"276",8618,21437,"727",0,"82,337","-13,546",-13545.59813,NA,NA,NA,12,12
"277",8411,24137,"0",0,"82,337","-15,726",-15726.0328,NA,NA,NA,12,13
"278",8498,24203,"0",0,"82,337","-15,705",-15705.38541,NA,NA,NA,12,14
"279",8945,20114,"0",0,"82,337","-11,169",-11168.92213,NA,NA,NA,12,15
"280",9559,17295,"78",0,"82,337","-7,814",-7813.838966,NA,NA,NA,12,16
"281",9254,12465,"0",0,"82,337","-3,211",-3211.080794,NA,NA,NA,12,17
"282",8599,6589,"0",2010,"80,243","0",-1.81899e-12,NA,NA,NA,12,18
"283",8762,2283,"0",6479,"73,494","0",0,NA,NA,NA,12,19
"284",9510,4,"0",9506,"63,592","0",0,NA,NA,NA,12,20
"285",10534,0,"0",10534,"52,619","0",0,NA,NA,NA,12,21
"286",10181,0,"0",10181,"42,014","0",0,NA,NA,NA,12,22
"287",9617,0,"0",9617,"31,997","0",0,NA,NA,NA,12,23
"288",8929,0,"78",8851,"22,777","0",0,NA,NA,NA,12,24
"289",8205,0,"78",8127,"14,312","0",0,NA,NA,NA,13,1
"290",7762,0,"0",7762,"6,227","0",0,NA,NA,NA,13,2
"291",7450,0,"0",5978,"0","1,472",0,NA,NA,NA,13,3
"292",7261,0,"0",0,"0","7,261",0,NA,NA,NA,13,4
"293",7238,0,"0",0,"0","7,238",0,NA,NA,NA,13,5
"294",7129,0,"0",0,"0","7,129",0,NA,NA,NA,13,6
"295",6695,50,"78",0,"0","6,567",0,NA,NA,NA,13,7
"296",6444,1316,"0",0,"0","5,129",0,NA,NA,NA,13,8
"297",6673,2829,"78",0,"0","3,766",0,NA,NA,NA,13,9
"298",6610,8131,"363",-1885,"1,809","0",0,NA,NA,NA,13,10
"299",6800,10299,"727",-4226,"5,867","0",0,NA,NA,NA,13,11
"300",5714,22377,"727",-17389,"22,560","0",0,NA,NA,NA,13,12
"301",5517,21823,"78",-16384,"38,289","0",0,NA,NA,NA,13,13
"302",7197,24521,"0",-17324,"54,920","0",0,NA,NA,NA,13,14
"303",7891,13790,"0",-5899,"60,583","0",0,NA,NA,NA,13,15
"304",7391,2236,"0",5155,"55,213","0",0,NA,NA,NA,13,16
"305",7881,4055,"363",3463,"51,606","0",0,NA,NA,NA,13,17
"306",7827,2766,"78",4984,"46,414","0",0,NA,NA,NA,13,18
"307",8316,332,"78",7906,"38,179","0",0,NA,NA,NA,13,19
"308",9355,3,"0",9352,"28,437","0",0,NA,NA,NA,13,20
"309",10372,0,"0",10372,"17,633","0",0,NA,NA,NA,13,21
"310",10252,0,"0",10252,"6,954","0",0,NA,NA,NA,13,22
"311",9785,0,"0",6676,"0","3,110",0,NA,NA,NA,13,23
"312",9009,0,"78",0,"0","8,931",0,NA,NA,NA,13,24
"313",8115,0,"78",0,"0","8,037",0,NA,NA,NA,14,1
"314",7543,0,"78",0,"0","7,465",0,NA,NA,NA,14,2
"315",7338,0,"78",0,"0","7,260",0,NA,NA,NA,14,3
"316",7127,0,"363",0,"0","6,763",0,NA,NA,NA,14,4
"317",7210,0,"727",0,"0","6,483",0,NA,NA,NA,14,5
"318",7215,0,"727",0,"0","6,488",0,NA,NA,NA,14,6
"319",6724,331,"727",0,"0","5,667",0,NA,NA,NA,14,7
"320",6829,5196,"1,661",-28,"26","0",0,NA,NA,NA,14,8
"321",7246,10583,"1,661",-4998,"4,825","0",0,NA,NA,NA,14,9
"322",8114,14873,"2,284",-9044,"13,507","0",0,NA,NA,NA,14,10
