"","ID","State","Country","Address","IRR","Capex_Payback","Capex_Asset","Capex..Lifetime.Benefit","PPA.Savings...on.Rate","PPA","PPA..Lifetime.Benefit","usage","NPV_estimated_capex","NPV_estimated_PPA","X","X.1","X.2","synthetic_total","Type","weighted_sum"
"26","03752-LI - ROCKY POINT","NY","US","346-40 ROUTE 25A, ROCKY POINT, NY, 11778",0.356,2.2,79380,"582504.7402","0.15","4012.392772","91351.31812",11,218474.6223,46711.0574,NA,NA,NA,59,"Battery",22.1994915254237
"27","03752-LI - ROCKY POINT","NY","US","346-40 ROUTE 25A, ROCKY POINT, NY, 11778",0.356,2.2,79380,"582504.7402","0.15","4012.392772","91351.31812",3.5,218474.6223,46711.0574,NA,NA,NA,59,"CHP",23.5449152542373
"28","03752-LI - ROCKY POINT","NY","US","346-40 ROUTE 25A, ROCKY POINT, NY, 11778",0.356,2.2,79380,"582504.7402","0.15","4012.392772","91351.31812",0,218474.6223,46711.0574,NA,NA,NA,59,"Fuel_Cell",0
"29","01155 - MANSFIELD (OPEN 2/10/2","CT","US","95 STORRS RD STE 1A, MANSFIELD, CT, 6250",0.351,2.3,77220,"561304.4286","0.15","3798.232522","86212.33918",25,209794.177,44083.32148,NA,NA,NA,56.5,"Solar",34.1681415929204
"30","01155 - MANSFIELD (OPEN 2/10/2","CT","US","95 STORRS RD STE 1A, MANSFIELD, CT, 6250",0.351,2.3,77220,"561304.4286","0.15","3798.232522","86212.33918",11,209794.177,44083.32148,NA,NA,NA,56.5,"Battery",22.5509734513274
"31","01155 - MANSFIELD (OPEN 2/10/2","CT","US","95 STORRS RD STE 1A, MANSFIELD, CT, 6250",0.351,2.3,77220,"561304.4286","0.15","3798.232522","86212.33918",3,209794.177,44083.32148,NA,NA,NA,56.5,"CHP",20.5008849557522
"32","01155 - MANSFIELD (OPEN 2/10/2","CT","US","95 STORRS RD STE 1A, MANSFIELD, CT, 6250",0.351,2.3,77220,"561304.4286","0.15","3798.232522","86212.33918",0,209794.177,44083.32148,NA,NA,NA,56.5,"Fuel_Cell",0
"33","08719-PROV - WARWICK","RI","US","1500 BALD HILL RD UNIT C, WARWICK, RI, 2886",0.348,2.3,83430,"597802.3837","0.15","4163.32684","94505.2462",27.5,222246.8313,48323.76884,NA,NA,NA,61.5,"Solar",37.3060975609756
"34","08719-PROV - WARWICK","RI","US","1500 BALD HILL RD UNIT C, WARWICK, RI, 2886",0.348,2.3,83430,"597802.3837","0.15","4163.32684","94505.2462",11,222246.8313,48323.76884,NA,NA,NA,61.5,"Battery",22.3836585365854
"35","08719-PROV - WARWICK","RI","US","1500 BALD HILL RD UNIT C, WARWICK, RI, 2886",0.348,2.3,83430,"597802.3837","0.15","4163.32684","94505.2462",3.5,222246.8313,48323.76884,NA,NA,NA,61.5,"CHP",23.740243902439
"36","08719-PROV - WARWICK","RI","US","1500 BALD HILL RD UNIT C, WARWICK, RI, 2886",0.348,2.3,83430,"597802.3837","0.15","4163.32684","94505.2462",0,222246.8313,48323.76884,NA,NA,NA,61.5,"Fuel_Cell",0
"37","08762-AMHERST","NH","US","119 ROUTE 101A, AMHERST, NH, 3031",0.29,3,135810,"826287.2009","0.15","5323.389737","121049.8799",42.5,286698.9431,61896.94912,NA,NA,NA,100,"Solar",57.71925
"38","01174 - WILTON","CT","US","14 DANBURY RD, WILTON, CT, 6897",0.29,2.9,83430,"487662.2428","0.15","3384.454835","76954.85685",27.5,165928.4054,39349.65373,NA,NA,NA,61.5,"Solar",37.3060975609756
"39","08762-AMHERST","NH","US","119 ROUTE 101A, AMHERST, NH, 3031",0.29,3,135810,"826287.2009","0.15","5323.389737","121049.8799",20,286698.9431,61896.94912,NA,NA,NA,100,"Battery",40.743
"40","01174 - WILTON","CT","US","14 DANBURY RD, WILTON, CT, 6897",0.29,2.9,83430,"487662.2428","0.15","3384.454835","76954.85685",11,165928.4054,39349.65373,NA,NA,NA,61.5,"Battery",22.3836585365854
"41","08762-AMHERST","NH","US","119 ROUTE 101A, AMHERST, NH, 3031",0.29,3,135810,"826287.2009","0.15","5323.389737","121049.8799",5.5,286698.9431,61896.94912,NA,NA,NA,100,"CHP",37.34775
"42","01174 - WILTON","CT","US","14 DANBURY RD, WILTON, CT, 6897",0.29,2.9,83430,"487662.2428","0.15","3384.454835","76954.85685",3.5,165928.4054,39349.65373,NA,NA,NA,61.5,"CHP",23.740243902439
"43","08762-AMHERST","NH","US","119 ROUTE 101A, AMHERST, NH, 3031",0.29,3,135810,"826287.2009","0.15","5323.389737","121049.8799",0,286698.9431,61896.94912,NA,NA,NA,100,"Fuel_Cell",0
"44","01174 - WILTON","CT","US","14 DANBURY RD, WILTON, CT, 6897",0.29,2.9,83430,"487662.2428","0.15","3384.454835","76954.85685",0,165928.4054,39349.65373,NA,NA,NA,61.5,"Fuel_Cell",0
"45","08709-S DG - LA MESA","CA","US","9108 FLETCHER PKWY, LA MESA, CA, 91942",0.284,3,599400,"3442340.022","0.15","25386.54792","585366.2707",110,1160786.341,299317.8209,NA,NA,NA,457.5,"Solar",144.118032786885
"46","08709-S DG - LA MESA","CA","US","9108 FLETCHER PKWY, LA MESA, CA, 91942",0.284,3,599400,"3442340.022","0.15","25386.54792","585366.2707",30,1160786.341,299317.8209,NA,NA,NA,457.5,"Battery",58.9573770491803
"47","08709-S DG - LA MESA","CA","US","9108 FLETCHER PKWY, LA MESA, CA, 91942",0.284,3,599400,"3442340.022","0.15","25386.54792","585366.2707",27.5,1160786.341,299317.8209,NA,NA,NA,457.5,"CHP",180.147540983607
"48","08709-S DG - LA MESA","CA","US","9108 FLETCHER PKWY, LA MESA, CA, 91942",0.284,3,599400,"3442340.022","0.15","25386.54792","585366.2707",27.5,1160786.341,299317.8209,NA,NA,NA,457.5,"Fuel_Cell",216.177049180328
"49","01152-WESTERLY-OPENS 04/14/13","RI","US","15 AIRPORT RD, WESTERLY, RI, 2891",0.282,3,126360,"712728.1619","0.15","5035.086361","114597.5947",40,238082.3175,58597.67474,NA,NA,NA,93.75,"Solar",53.9136
"50","01152-WESTERLY-OPENS 04/14/13","RI","US","15 AIRPORT RD, WESTERLY, RI, 2891",0.282,3,126360,"712728.1619","0.15","5035.086361","114597.5947",17.5,238082.3175,58597.67474,NA,NA,NA,93.75,"Battery",35.3808
"51","01152-WESTERLY-OPENS 04/14/13","RI","US","15 AIRPORT RD, WESTERLY, RI, 2891",0.282,3,126360,"712728.1619","0.15","5035.086361","114597.5947",5.5,238082.3175,58597.67474,NA,NA,NA,93.75,"CHP",37.0656
"52","01152-WESTERLY-OPENS 04/14/13","RI","US","15 AIRPORT RD, WESTERLY, RI, 2891",0.282,3,126360,"712728.1619","0.15","5035.086361","114597.5947",0,238082.3175,58597.67474,NA,NA,NA,93.75,"Fuel_Cell",0
"53","08796-CANANDAIGUA","NY","US","320 EASTERN BLVD, CANANDAIGUA, NY, 14424",0.28,3,437400,"2471099.795","0.15","18734.94057","433232.9147",80,826157.9514,221526.8259,NA,NA,NA,333.75,"Solar",104.844943820225
"54","08796-CANANDAIGUA","NY","US","320 EASTERN BLVD, CANANDAIGUA, NY, 14424",0.28,3,437400,"2471099.795","0.15","18734.94057","433232.9147",22.5,826157.9514,221526.8259,NA,NA,NA,333.75,"Battery",44.2314606741573
"55","08796-CANANDAIGUA","NY","US","320 EASTERN BLVD, CANANDAIGUA, NY, 14424",0.28,3,437400,"2471099.795","0.15","18734.94057","433232.9147",20,826157.9514,221526.8259,NA,NA,NA,333.75,"CHP",131.056179775281
"56","08796-CANANDAIGUA","NY","US","320 EASTERN BLVD, CANANDAIGUA, NY, 14424",0.28,3,437400,"2471099.795","0.15","18734.94057","433232.9147",20,826157.9514,221526.8259,NA,NA,NA,333.75,"Fuel_Cell",157.267415730337
"57","09539-LA - PASADENA","CA","US","1155 E COLORADO BLVD, PASADENA, CA, 91106",0.267,3.2,537300,"2876365.409","0.15","21756.23903","501672.8984",95,933484.1384,256522.5334,NA,NA,NA,411.25,"Solar",124.117933130699
