"","Technology","weighted_sum"
"189","CHP",261.966101694915
"190","CHP",180.972
"191","Fuel_Cell",314.359322033898
"192","Fuel_Cell",217.1664
"193","Solar",241.9303514377
"194","Battery",98.0798722044728
"195","CHP",310.586261980831
"196","Fuel_Cell",372.703514376997
"197","Solar",196.59880239521
"198","Solar",190.441525423729
"199","Solar",268.98447761194
"200","Battery",83.5544910179641
"201","Battery",78.8033898305085
"202","Battery",108.249850746269
"203","CHP",245.748502994012
"204","CHP",229.843220338983
"205","CHP",328.029850746269
"206","Fuel_Cell",294.898203592814
"207","Fuel_Cell",275.81186440678
"208","Fuel_Cell",393.635820895522
"209","Solar",209.572881355932
"210","Solar",180.406225680934
"211","Battery",83.5016949152542
"212","Battery",115.25953307393
"213","CHP",261.966101694915
"214","CHP",133.634241245136
"215","Fuel_Cell",314.359322033898
"216","Fuel_Cell",0
"217","Solar",176.360698689956
"218","Battery",68.5847161572052
"219","CHP",228.615720524017
"220","Fuel_Cell",274.338864628821
"221","Solar",110.911945392491
"222","Solar",183.390967741935
"223","Solar",209.572881355932
"224","Solar",202.658823529412
"225","Battery",44.038566552901
"226","Battery",73.6838709677419
"227","Battery",83.5016949152542
"228","Battery",83.3516129032258
"229","CHP",146.795221843003
"230","CHP",229.238709677419
"231","CHP",261.966101694915
"232","CHP",261.495256166983
"233","Fuel_Cell",176.154266211604
"234","Fuel_Cell",275.086451612903
"235","Fuel_Cell",314.359322033898
"236","Fuel_Cell",313.79430740038
"237","Solar",190.441525423729
"238","Battery",78.8033898305085
"239","CHP",229.843220338983
"240","Fuel_Cell",275.81186440678
"241","Solar",202.658823529412
"242","Battery",83.3516129032258
"243","CHP",261.495256166983
"244","Fuel_Cell",313.79430740038
"245","Solar",154.6488
"246","Battery",64.1628
"247","CHP",180.972
"248","Fuel_Cell",217.1664
"249","Solar",248.845714285714
"250","Solar",215.141721854305
"251","Battery",98.2285714285714
"252","Battery",141.186754966887
"253","CHP",311.057142857143
"254","CHP",151.271523178808
"255","Fuel_Cell",373.268571428571
"256","Fuel_Cell",0
"257","Solar",153.750377833753
"258","Solar",153.750377833753
"259","Battery",63.7900503778338
"260","Battery",63.7900503778338
"261","CHP",196.277078085642
"262","CHP",196.277078085642
"263","Fuel_Cell",235.532493702771
"264","Fuel_Cell",235.532493702771
"265","Solar",196.59880239521
"266","Solar",173.764285714286
"267","Battery",83.5544910179641
"268","Battery",68.85
"269","CHP",245.748502994012
"270","CHP",213.107142857143
"271","Fuel_Cell",294.898203592814
"272","Fuel_Cell",255.728571428571
"273","Solar",104.844943820225
"274","Battery",44.2314606741573
"275","CHP",131.056179775281
"276","Fuel_Cell",157.267415730337
"277","Solar",47.4586750788643
"278","Battery",29.4921766561514
"279","CHP",30.5091482649842
"280","Fuel_Cell",0
"281","Solar",23.4169811320755
"282","Solar",153.750377833753
"283","Battery",13.0466037735849
"284","Battery",63.7900503778338
"285","CHP",16.7264150943396
"286","CHP",196.277078085642
"287","Fuel_Cell",0
"288","Fuel_Cell",235.532493702771
"289","Solar",183.390967741935
"290","Solar",248.845714285714
"291","Battery",73.6838709677419
"292","Battery",98.2285714285714
"293","CHP",229.238709677419
"294","CHP",311.057142857143
"295","Fuel_Cell",275.086451612903
"296","Fuel_Cell",373.268571428571
"297","Solar",183.390967741935
"298","Battery",73.6838709677419
"299","CHP",229.238709677419
"300","Fuel_Cell",275.086451612903
"301","Solar",190.441525423729
"302","Battery",78.8033898305085
"303","CHP",229.843220338983
"304","Fuel_Cell",275.81186440678
"305","Solar",209.572881355932
"306","Solar",190.441525423729
"307","Solar",189.568421052632
"308","Battery",83.5016949152542
"309","Battery",78.8033898305085
"310","Battery",78.4421052631579
"311","CHP",261.966101694915
"312","CHP",229.843220338983
"313","CHP",245.131578947368
"314","Fuel_Cell",314.359322033898
"315","Fuel_Cell",275.81186440678
"316","Fuel_Cell",294.157894736842
"317","Solar",137.090807799443
"318","Battery",53.8571030640669
"319","CHP",179.523676880223
"320","Fuel_Cell",215.428412256267
"321","Solar",334.437844311377
"322","Battery",132.791497005988
"323","CHP",409.850299401198
"324","Fuel_Cell",491.820359281437
"325","Solar",301.327058823529
"326","Battery",122.823529411765
"327","CHP",376.658823529412
"328","Fuel_Cell",451.990588235294
"329","Solar",26.6553191489362
"330","Solar",222.780952380952
"331","Battery",15.9931914893617
"332","Battery",93.3714285714286
"333","CHP",19.9914893617021
"334","CHP",278.47619047619
"335","Fuel_Cell",0
"336","Fuel_Cell",334.171428571429
"337","Solar",196.59880239521
"338","Solar",281.202206896552
"339","Battery",83.5544910179641
"340","Battery",112.807862068966
"341","CHP",245.748502994012
"342","CHP",359.67724137931
"343","Fuel_Cell",294.898203592814
"344","Fuel_Cell",431.612689655172
"345","Solar",209.572881355932
"346","Solar",202.658823529412
"347","Battery",83.5016949152542
"348","Battery",83.3516129032258
"349","CHP",261.966101694915
"350","CHP",261.495256166983
"351","Fuel_Cell",314.359322033898
"352","Fuel_Cell",313.79430740038
"353","Solar",202.658823529412
"354","Battery",83.3516129032258
"355","CHP",261.495256166983
"356","Fuel_Cell",313.79430740038
"357","Solar",44.3181818181818
"358","Solar",30.4605633802817
"359","Solar",34.75
"360","Battery",29.6590909090909
"361","Battery",21.3223943661972
"362","Battery",22.935
"363","CHP",27.2727272727273
"364","CHP",20.3070422535211
"365","CHP",17.375
"366","Fuel_Cell",0
"367","Fuel_Cell",0
"368","Fuel_Cell",0
"369","Solar",406.828685258964
"370","Solar",64.0084090909091
"371","Solar",189.568421052632
"372","Solar",30.4605633802817
"373","Battery",157.482071713147
"374","Battery",40.4263636363636
"375","Battery",78.4421052631579
"376","Battery",21.3223943661972
"377","CHP",492.131474103586
"378","CHP",43.7952272727273
"379","CHP",245.131578947368
"380","CHP",20.3070422535211
"381","Fuel_Cell",590.557768924303
"382","Fuel_Cell",0
"383","Fuel_Cell",294.157894736842
"384","Fuel_Cell",0
"385","Solar",123.353846153846
"386","Battery",53.5615384615385
"387","CHP",178.538461538462
"388","Fuel_Cell",214.246153846154
"389","Solar",27.1542857142857
"390","Solar",126.502417582418
"391","Battery",15.2742857142857
"392","Battery",79.8962637362637
"393","CHP",16.9714285714286
"394","CHP",96.5413186813187
"395","Fuel_Cell",0
"396","Fuel_Cell",0
"397","Solar",77.9179245283019
"398","Solar",229.712784588441
"399","Battery",50.8160377358491
"400","Battery",93.5259194395797
"401","CHP",50.8160377358491
"402","CHP",278.936952714536
"403","Fuel_Cell",0
"404","Fuel_Cell",334.724343257443
"405","Solar",173.090909090909
"406","Solar",189.568421052632
"407","Battery",69.5454545454545
"408","Battery",78.4421052631579
"409","CHP",216.363636363636
"410","CHP",245.131578947368
"411","Fuel_Cell",0
"412","Fuel_Cell",294.157894736842
"413","Solar",262.054054054054
"414","Battery",108.097297297297
"415","CHP",327.567567567568
"416","Fuel_Cell",393.081081081081
"417","Solar",467.937419945105
"418","Battery",173.005032021958
"419","CHP",527.253430924062
"420","Fuel_Cell",632.704117108875
"421","Solar",190.441525423729
"422","Solar",262.054054054054
"423","Battery",78.8033898305085
"424","Battery",108.097297297297
"425","CHP",229.843220338983
"426","CHP",327.567567567568
